
Fear,40
Neutral,47
Neutral,39
Angry,42
Neutral,51
Neutral,42
Angry,44
Happy,80
Happy,30
Happy,92
Happy,86
Happy,66
Happy,68
Angry,33
Angry,48
Angry,40
Angry,36
Angry,42
Neutral,39
Neutral,43
Happy,56
Happy,73
Happy,95
Happy,79
Happy,71
Happy,86
Happy,87
Happy,74
Happy,87
Happy,96
Happy,57
Happy,64
Happy,81
Happy,43
Angry,44
Angry,52
Angry,45
Angry,43
Angry,53
Angry,57
Angry,62
Angry,72
Angry,45
Angry,55
Angry,71
Angry,45
Angry,38
Angry,45
Angry,35
Angry,52
Neutral,46
Neutral,39
Angry,41
Angry,41
Neutral,44
Angry,49
Angry,49
Angry,45
Neutral,45
Angry,55
Neutral,40
Angry,57
Angry,40
Angry,44
Neutral,47
Neutral,46
Angry,43
Angry,39
Neutral,49
Happy,24
Happy,42
Happy,86
Happy,67
Happy,74
Happy,43
Happy,38
Happy,51
Happy,39
Happy,55
Angry,36
Happy,49
Angry,38
Angry,41
Angry,48
Neutral,51
Angry,42
Neutral,46
Angry,52
Angry,64
Angry,50
Angry,55
Angry,46
Angry,46
Angry,45
Angry,59
Angry,60
Angry,64
Angry,53
Angry,48
Angry,56
Angry,54
Angry,72
Angry,67
Angry,41
Angry,42
Surprise,29
Sad,28
Angry,53
Angry,44
Angry,30
Surprise,76
Surprise,38
Happy,42
Happy,96
Neutral,35
Neutral,31
Neutral,24
Angry,54
Angry,65
Angry,66
Angry,49
Angry,37
Angry,51
Angry,59
Angry,68
Angry,53
Angry,45
Happy,36
Angry,35
Angry,36
Angry,40
Happy,45
Neutral,96
Angry,52
Angry,28
Sad,37
Neutral,96
Neutral,97
Neutral,97
Neutral,98
Neutral,98
Neutral,98
Neutral,97
Neutral,97
Neutral,58
Happy,99
Happy,99
Happy,99
Happy,99
Happy,99
Happy,99
Happy,99
Happy,99
Happy,99
Happy,99
Happy,99
Happy,99
Happy,99
Happy,99
Happy,99
Happy,99
Happy,99
Happy,99
Happy,99
Happy,99
Happy,99
Happy,99
Happy,99
Happy,98
Happy,99
Happy,99
Happy,99
Happy,99
Happy,99
Happy,99
Happy,98
Happy,97
Happy,97
Happy,89
Happy,81
Happy,69
Happy,85
Happy,54
Neutral,55
Neutral,72
Neutral,87
Neutral,74
Neutral,89
Neutral,82
Neutral,94
Neutral,89
Neutral,95
Neutral,87
Neutral,49
Neutral,70
Neutral,82
Angry,75
Sad,45
Angry,69
Sad,43
Angry,67
Neutral,51
Angry,39
Sad,46
Angry,35
Sad,48
Neutral,58
Neutral,62
Neutral,60
Neutral,59
Neutral,40
Neutral,58
Neutral,72
Neutral,46
Neutral,43
Neutral,59
Neutral,53
Neutral,53
Neutral,49
Happy,77
Neutral,67
Happy,98
Neutral,67
Happy,99
Neutral,65
Happy,99
Neutral,52
Happy,99
Happy,99
Neutral,62
Sad,47
Happy,99
Sad,46
Happy,99
Sad,41
Happy,99
Sad,40
Happy,99
Angry,47
Happy,83
Sad,44
Neutral,95
Angry,50
Neutral,45
Sad,37
Neutral,39
Angry,35
Neutral,35
Angry,36
Neutral,31
Sad,39
Happy,99
Angry,31
Happy,98
Sad,37
Happy,99
Sad,47
Happy,99
Sad,38
Happy,94
Angry,38
Happy,99
Angry,37
Neutral,36
Sad,44
Neutral,40
Sad,41
Neutral,34
Sad,40
Neutral,43
Sad,50
Neutral,38
Sad,42
Angry,47
Sad,37
Neutral,34
Sad,38
Neutral,76
Angry,50
Neutral,38
Sad,47
Neutral,41
Sad,55
Neutral,65
Sad,51
Neutral,84
Sad,33
Angry,34
Angry,37
Angry,52
Sad,35
Angry,59
Sad,33
Angry,54
Sad,48
Neutral,27
Sad,49
Neutral,39
Angry,34
Neutral,32
Sad,41
Surprise,26
Sad,41
Happy,84
Angry,38
Happy,99
Angry,35
Happy,99
Angry,36
Happy,99
Sad,33
Happy,99
Sad,50
Happy,99
Angry,50
Happy,99
Sad,55
Happy,98
Angry,41
Happy,50
Angry,59
Neutral,31
Sad,34
Sad,31
Sad,39
Sad,53
Angry,43
Happy,41
Angry,41
Sad,44
Angry,51
Surprise,52
Angry,47
Neutral,30
Sad,49
Neutral,63
Angry,37
Neutral,60
Sad,37
Surprise,30
Sad,41
Surprise,77
Sad,38
Sad,36
Angry,38
Surprise,25
Angry,44
Sad,41
Angry,47
Sad,47
Sad,37
Happy,43
Sad,42
Sad,95
Angry,40
Sad,41
Sad,43
Happy,36
Angry,47
Happy,42
Sad,36
Sad,33
Angry,58
Neutral,69
Sad,44
Neutral,41
Angry,55
Neutral,28
Angry,39
Neutral,41
Sad,40
Happy,66
Angry,40
Happy,84
Angry,40
Happy,99
Sad,45
Happy,99
Sad,38
Happy,99
Angry,50
Happy,99
Sad,35
Happy,99
Angry,50
Happy,99
Angry,45
Happy,99
Sad,42
Happy,99
Angry,41
Happy,99
Angry,47
Happy,99
Angry,40
Happy,99
Sad,39
Happy,99
Angry,59
Happy,99
Angry,56
Happy,99
Angry,52
Happy,99
Angry,39
Happy,99
Neutral,85
Neutral,55
Neutral,74
Neutral,80
Neutral,97
Fear,28
Sad,42
Neutral,95
Neutral,72
Sad,73
Happy,99
Angry,40
Happy,99
Angry,53
Angry,65
Happy,99
Happy,99
Angry,71
Happy,99
Angry,42
Happy,99
Angry,38
Happy,99
Angry,41
Happy,99
Angry,51
Happy,99
Angry,42
Happy,99
Angry,41
Happy,99
Angry,42
Angry,58
Happy,99
Happy,99
Angry,57
Angry,50
Happy,99
Angry,63
Happy,99
Angry,65
Happy,99
Angry,63
Happy,99
Happy,99
Angry,56
Happy,99
Angry,55
Happy,99
Sad,41
Happy,99
Sad,45
Happy,99
Angry,42
Sad,54
Happy,99
Happy,99
Angry,43
Angry,44
Happy,99
Angry,51
Happy,99
Sad,47
Happy,99
Angry,40
Happy,99
Sad,43
Happy,99
Angry,40
Happy,95
Angry,45
Happy,99
Angry,41
Happy,98
Angry,43
Happy,99
Angry,45
Happy,99
Angry,54
Happy,99
Angry,44
Happy,99
Angry,45
Happy,99
Angry,42
Happy,99
Angry,39
Happy,99
Angry,55
Happy,99
Angry,53
Happy,99
Angry,43
Happy,99
Angry,50
Happy,99
Angry,53
Happy,99
Angry,46
Happy,99
Angry,33
Happy,99
Angry,46
Happy,99
Sad,33
Happy,99
Angry,46
Happy,99
Sad,34
Happy,99
Angry,32
Happy,99
Angry,40
Happy,99
Happy,99
Angry,43
Happy,99
Angry,47
Happy,99
Angry,60
Happy,97
Angry,63
Happy,49
Angry,63
Neutral,71
Angry,49
Neutral,91
Angry,54
Neutral,81
Angry,49
Neutral,68
Angry,59
Neutral,66
Angry,64
Neutral,54
Angry,48
Happy,46
Angry,63
Neutral,40
Angry,40
Neutral,48
Angry,48
Neutral,51
Angry,44
Happy,52
Angry,60
Happy,58
Sad,38
Happy,56
Angry,68
Happy,89
Angry,73
Happy,77
Angry,55
Happy,99
Angry,53
Happy,98
Angry,57
Neutral,65
Angry,57
Neutral,54
Angry,58
Happy,55
Angry,57
Happy,60
Angry,68
Neutral,52
Angry,64
Neutral,91
Angry,51
Neutral,92
Angry,39
Neutral,86
Angry,32
Angry,38
Neutral,88
Angry,31
Neutral,97
Neutral,51
Neutral,97
Neutral,97
Neutral,96
Neutral,97
Neutral,91
Neutral,97
Neutral,97
Neutral,97
Neutral,98
Neutral,97
Neutral,97
Neutral,98
Neutral,96
Neutral,96
Sad,92
Neutral,97
Neutral,94
Neutral,94
Neutral,94
Angry,47
Neutral,75
Angry,48
Neutral,97
Fear,43
Neutral,98
Angry,52
Neutral,97
Fear,61
Neutral,97
Angry,45
Neutral,95
Neutral,35
Neutral,97
Neutral,49
Neutral,97
Neutral,38
Neutral,40
Angry,37
Neutral,96
Angry,31
Neutral,95
Angry,72
Neutral,91
Neutral,65
Neutral,96
Angry,60
Neutral,95
Sad,48
Neutral,97
Neutral,86
Neutral,94
Neutral,87
Neutral,93
Neutral,95
Neutral,90
Neutral,71
Neutral,45
Neutral,35
Happy,81
Happy,65
Happy,97
Happy,71
Happy,84
Happy,55
Happy,87
Happy,71
Sad,66
